Niveau	Date et heure	Source	ID de l’événement	Catégorie de la tâche
Erreur	16/10/2025 09:01:21	Microsoft-Windows-WindowsUpdateClient	20	Agent de mise à jour automatique Windows Update	Échec de l’installation : l’installation de la mise à jour suivante a échoue avec l’erreur 0xC190020E : Windows 11, version 24H2.
Erreur	16/10/2025 08:47:18	Service Control Manager	7000	Aucun	"Le service Service Google Update (gupdate) n’a pas pu démarrer en raison de l’erreur : 
Le service n’a pas répondu assez vite à la demande de lancement ou de contrôle."
Erreur	16/10/2025 08:47:18	Service Control Manager	7009	Aucun	Le dépassement de délai (30000 millisecondes) a été atteint lors de l’attente de la connexion du service Service Google Update (gupdate).
Erreur	16/10/2025 08:47:15	Service Control Manager	7000	Aucun	"Le service Microsoft Cloud Managed Desktop Extension n’a pas pu démarrer en raison de l’erreur : 
Le fichier spécifié est introuvable."
Erreur	16/10/2025 08:45:01	Microsoft-Windows-Security-Kerberos	19	Aucun	Le certificat KDC pour le contrôleur de domaine ne contient pas l’utilisation améliorée de la clé KDC : 1.3.6.1.5.2.3.5 : Code d’erreur 0xc0000320. Pour résoudre cette erreur, l’administrateur du domaine doit obtenir un certificat avec l’utilisation améliorée de la clé KDC pour le contrôleur de domaine. Lorsque vous utilisez Windows Server, les services de certificats créent un certificat basé sur le modèle d’authentification Kerberos.
Erreur	16/10/2025 08:45:00	hasplms	3	Aucun	ERROR: DEP policy is not enabled due system configuration

Erreur	15/10/2025 21:06:53	Service Control Manager	7043	Aucun	Le service Client de stratégie de groupe ne s’est pas fermé correctement après avoir reçu une commande d’anticipation de fermeture.
Erreur	15/10/2025 21:06:37	NETLOGON	5719	Aucun	"Cet ordinateur n’a pas pu configurer une session sécurisée avec un contrôleur de domaine dans le domaine AFDB pour la raison suivante : 
Nous n’avons pas pu vous connecter avec ces informations d’identification, car votre domaine n’est pas disponible. Vérifiez que votre appareil est connecté au réseau de votre organisation, puis réessayez. Si vous vous connectiez sur cet appareil avec d’autres informations d’identification auparavant, vous pouvez utiliser celles-ci pour vous connecter. 
Cela peut entraîner des problèmes d’authentification. Vérifiez que cet ordinateur est connecté au réseau. Si le problème persiste, contactez votre administrateur de domaine.  

INFORMATIONS SUPPLÉMENTAIRES 
Si cet ordinateur est un contrôleur de domaine pour le domaine spécifié, il installe la session sécurisée sur l’émulateur de contrôleur de domaine principal dans le domaine spécifié. Sinon, cet ordinateur installe la session sécurisée sur n’importe quel contrôleur de domaine du domaine spécifié."
Erreur	15/10/2025 21:06:07	hasplms	3	Aucun	ERROR: DEP policy is not enabled due system configuration

Erreur	15/10/2025 20:54:49	Service Control Manager	7043	Aucun	Le service Service Protection avancée contre les menaces Windows Defender ne s’est pas fermé correctement après avoir reçu une commande d’anticipation de fermeture.
Erreur	15/10/2025 20:54:28	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur Microsoft.Windows.ShellExperienceHost_10.0.22621.4249_neutral_neutral_cw5n1h2txyewy!App ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	15/10/2025 20:54:25	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur {4E001C89-0A00-4E64-9C3D-FDA496006B54} ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	15/10/2025 20:54:25	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur {4E001C89-0A00-4E64-9C3D-FDA496006B54} ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	15/10/2025 20:54:24	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur {FE1AD06E-F374-418E-BD51-85E500F29335} ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	15/10/2025 20:54:24	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy!Windows.Security.Authentication.Web.Core.BackgroundGetTokenTask.ClassId.WebAccountProvider ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	15/10/2025 20:54:23	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy!Windows.Security.Authentication.Web.Core.BackgroundGetTokenTask.ClassId.WebAccountProvider ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	15/10/2025 20:48:42	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	15/10/2025 20:48:41	Microsoft-Windows-Security-Kerberos	11	Aucun	Le nom unique figurant dans le champ Objet de votre certificat d’ouverture de session par carte à puce ne contient pas suffisamment d’informations pour identifier le domaine adéquat sur un ordinateur qui n’est pas membre d’un domaine. Contactez votre administrateur système.
Erreur	15/10/2025 19:27:36	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	15/10/2025 19:09:59	Microsoft-Windows-WindowsUpdateClient	20	Agent de mise à jour automatique Windows Update	Échec de l’installation : l’installation de la mise à jour suivante a échoue avec l’erreur 0xC190020E : Windows 11, version 24H2.
Erreur	15/10/2025 18:16:20	NETLOGON	5719	Aucun	"Cet ordinateur n’a pas pu configurer une session sécurisée avec un contrôleur de domaine dans le domaine AFDB pour la raison suivante : 
Nous n’avons pas pu vous connecter avec ces informations d’identification, car votre domaine n’est pas disponible. Vérifiez que votre appareil est connecté au réseau de votre organisation, puis réessayez. Si vous vous connectiez sur cet appareil avec d’autres informations d’identification auparavant, vous pouvez utiliser celles-ci pour vous connecter. 
Cela peut entraîner des problèmes d’authentification. Vérifiez que cet ordinateur est connecté au réseau. Si le problème persiste, contactez votre administrateur de domaine.  

INFORMATIONS SUPPLÉMENTAIRES 
Si cet ordinateur est un contrôleur de domaine pour le domaine spécifié, il installe la session sécurisée sur l’émulateur de contrôleur de domaine principal dans le domaine spécifié. Sinon, cet ordinateur installe la session sécurisée sur n’importe quel contrôleur de domaine du domaine spécifié."
Erreur	15/10/2025 17:56:36	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	15/10/2025 16:25:35	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	15/10/2025 14:54:35	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	15/10/2025 14:12:15	NETLOGON	5719	Aucun	"Cet ordinateur n’a pas pu configurer une session sécurisée avec un contrôleur de domaine dans le domaine AFDB pour la raison suivante : 
Nous n’avons pas pu vous connecter avec ces informations d’identification, car votre domaine n’est pas disponible. Vérifiez que votre appareil est connecté au réseau de votre organisation, puis réessayez. Si vous vous connectiez sur cet appareil avec d’autres informations d’identification auparavant, vous pouvez utiliser celles-ci pour vous connecter. 
Cela peut entraîner des problèmes d’authentification. Vérifiez que cet ordinateur est connecté au réseau. Si le problème persiste, contactez votre administrateur de domaine.  

INFORMATIONS SUPPLÉMENTAIRES 
Si cet ordinateur est un contrôleur de domaine pour le domaine spécifié, il installe la session sécurisée sur l’émulateur de contrôleur de domaine principal dans le domaine spécifié. Sinon, cet ordinateur installe la session sécurisée sur n’importe quel contrôleur de domaine du domaine spécifié."
Erreur	15/10/2025 13:23:36	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	15/10/2025 11:52:34	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	15/10/2025 11:40:17	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	15/10/2025 11:40:16	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	15/10/2025 10:50:15	Volsnap	36	Aucun	Les clichés instantanés du volume C: ont été annulés car le stockage du cliché instantané n’a pas pu s’agrandir en raison d’une limite utilisateur.
Erreur	15/10/2025 10:23:20	Volsnap	36	Aucun	Les clichés instantanés du volume C: ont été annulés car le stockage du cliché instantané n’a pas pu s’agrandir en raison d’une limite utilisateur.
Erreur	15/10/2025 10:21:34	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	15/10/2025 10:21:34	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	15/10/2025 10:14:04	Service Control Manager	7000	Aucun	"Le service Service Google Update (gupdate) n’a pas pu démarrer en raison de l’erreur : 
Le service n’a pas répondu assez vite à la demande de lancement ou de contrôle."
Erreur	15/10/2025 10:14:04	Service Control Manager	7009	Aucun	Le dépassement de délai (30000 millisecondes) a été atteint lors de l’attente de la connexion du service Service Google Update (gupdate).
Erreur	15/10/2025 10:14:03	Service Control Manager	7000	Aucun	"Le service Microsoft Cloud Managed Desktop Extension n’a pas pu démarrer en raison de l’erreur : 
Le fichier spécifié est introuvable."
